PLACES TRAINING Epoch: 1 10 loss: 0.6942034066
IoU: 0.027074111135PLACES TRAINING Epoch: 1 20 loss: 0.6907865405
IoU: 0.0335199330623PLACES TRAINING Epoch: 1 30 loss: 0.6969522059
IoU: 0.0285113431356PLACES TRAINING Epoch: 1 40 loss: 0.6958683670
IoU: 0.0159900480556PLACES TRAINING Epoch: 1 50 loss: 0.6953642845
IoU: 0.0325711242779PLACES TRAINING Epoch: 1 60 loss: 0.6936188221
IoU: 0.0353815211313PLACES TRAINING Epoch: 1 70 loss: 0.6950655103
IoU: 0.0192704163713PLACES TRAINING Epoch: 1 80 loss: 0.7008759022
IoU: 0.0313098494548PLACES TRAINING Epoch: 1 90 loss: 0.7004224122
IoU: 0.028997354303PLACES TRAINING Epoch: 1 100 loss: 0.6845830977
IoU: 0.0469861762575PLACES TRAINING Epoch: 1 110 loss: 0.6940471828
IoU: 0.0280439924201PLACES TRAINING Epoch: 1 120 loss: 0.6840624571
IoU: 0.0480432676305PLACES TRAINING Epoch: 1 130 loss: 0.6908261776
IoU: 0.0299333590297PLACES TRAINING Epoch: 1 140 loss: 0.6936374605
IoU: 0.0286983085664PLACES TRAINING Epoch: 1 150 loss: 0.6907000721
IoU: 0.0197052125286PLACES TRAINING Epoch: 1 160 loss: 0.6914153278
IoU: 0.0321487327716PLACES TRAINING Epoch: 1 170 loss: 0.7004705727
IoU: 0.0167853941263PLACES TRAINING Epoch: 1 180 loss: 0.6955229938
IoU: 0.0389579213643PLACES TRAINING Epoch: 1 190 loss: 0.6946179867
IoU: 0.0199222074049PLACES TRAINING Epoch: 1 200 loss: 0.6934897065
IoU: 0.0171819322803PLACES TRAINING Epoch: 1 210 loss: 0.6920846045
IoU: 0.0236751939298PLACES TRAINING Epoch: 1 220 loss: 0.6933348358
IoU: 0.0464385676663PLACES TRAINING Epoch: 1 230 loss: 0.6940951824
IoU: 0.0309004522903PLACES TRAINING Epoch: 1 240 loss: 0.6943006635
IoU: 0.0317255916938PLACES TRAINING Epoch: 1 250 loss: 0.6966771483
IoU: 0.0290081554784PLACES TRAINING Epoch: 1 260 loss: 0.6902939498
IoU: 0.0176006102712
